activity1,activity2,corr,communities,cluster1,cluster2
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.328,42,Nutrition,Education
# of RRTs established and supported to provide CMAM and IYCF services.,Bread/Flour distribution,0.328,29,Nutrition,FSL
fuel_consumption,Animal treatment/vaccination,0.328,26,WASH,FSL
water_trucking,Ready to Eat Ration,0.327,81,WASH,FSL
des_beneficiaries,Ready to Eat Ration,0.327,64,WASH,FSL
"# of PLWs who received micronutrients including iron, folate  for six months",2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.327,55,Nutrition,Education
Risk education - MA1,water_trucking,0.327,47,Protection,WASH
Ready to Eat Ration,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.327,43,FSL,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",hp_ben,0.327,40,Protection,WASH
Bread/Flour distribution,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.327,39,FSL,Education
# of PLWs with moderate acute malnutrition admitted for treatment,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.327,39,Nutrition,Education
Psychosocial support (PSS) - GP4,Number of PLW reached with MAM treatment,0.327,30,Protection,Nutrition
# of children 0-6 months EBF,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.327,26,Nutrition,Education
pwd_beneficiaries,1.02.1 Support the provision of formal education to children and youth,0.327,25,WASH,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.326,64,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.326,51,Nutrition,Education
chlorin_cholera,1.02.1 Support the provision of formal education to children and youth,0.326,37,WASH,Education
chlorin_cholera,1.9   Provide children with school water trucking,0.326,36,WASH,Education
# of children 6-59 months reached with HEB for 2 weeks,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.326,36,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,des_beneficiaries,0.325,79,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,des_beneficiaries,0.325,76,Nutrition,WASH
# PLWs screened for malnutrition,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.325,56,Nutrition,Education
Case management and Referrals - GP5,Bread/Flour distribution,0.325,50,Protection,FSL
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.325,43,Nutrition,Education
hp_ben,Free Bread Distribution,0.325,41,WASH,FSL
cholera_sew,1.02.1 Support the provision of formal education to children and youth,0.325,40,WASH,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,Emergency Food Rations (EFRs),0.325,34,Nutrition,FSL
# of children 6-59 months reached with HEB for 2 weeks,1.2.1.2: Installation of new/ replacement of existing tents,0.325,33,Nutrition,SNFI
New people reached with GBV services  - GBV100,# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,0.325,32,Protection,Nutrition
cholera_sew,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.325,29,WASH,Education
# of boys and girls (6 – 59 months) screened for malnutrition,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.324,56,Nutrition,Education
hk_ben,Bread/Flour distribution,0.324,55,WASH,FSL
Ready to Eat Ration,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.324,52,FSL,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,chlorin_cholera,0.324,44,Nutrition,WASH
cholera_safe_water,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.324,36,WASH,Education
Risk education - MA1,sew_rehab_repair,0.324,21,Protection,WASH
Ready to Eat Ration,Multipurpose cash,0.323,96,FSL,Cash
swm_support_benf,1.9   Provide children with school water trucking,0.323,89,WASH,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.322,62,Nutrition,Education
Bread/Flour distribution,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.322,49,FSL,Education
# of PLWs received HEB for 2 weeks,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.322,30,Nutrition,Education
hk_ben,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.322,28,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,2.05.7 Provide children with recreational materials in formal settings,0.321,57,Nutrition,Education
Bread/Flour distribution,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.321,55,FSL,Education
hp_ben,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.321,45,WASH,Education
1.2.1.2: Installation of new/ replacement of existing tents,Bread/Flour distribution,0.321,29,SNFI,FSL
Case management and Referrals - GP5,# of PLWs received HEB for 2 weeks,0.321,25,Protection,Nutrition
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",sew_rehab_repair,0.321,24,Nutrition,WASH
o_m,1.13.2 Provide children with school bags in non-formal settings,0.321,22,WASH,Education
sew_rehab_repair,Free Bread Distribution,0.321,21,WASH,FSL
Seasonal and supplementary NFIs,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.321,21,SNFI,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.32,70,Nutrition,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.32,55,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.32,54,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.32,48,Nutrition,Education
swm_support_benf,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.32,45,WASH,Education
o_m,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.32,39,WASH,Education
o_m,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.32,32,WASH,Education
